name,price ($),weight (kg),length (m),width (m),height (m),shipment date,port of loading,Vessel,Dwell after shipping,Customer,Called for inspection
Pallete of Canned Vegetables,143.86,351.72,1.11,0.91,1.45,02/08/2022,Port of Singapore (Singapore),AURORA,44,11,N
Pallete of Chips,122.25,275.08,1.14,0.88,1.43,11/12/2022,Port of Tianjin (China),HANA,41,1,N
Large Flat Rate Box,34.51,0.63,0.86,0.47,0.38,07/11/2022,Port of Tianjin (China),LINDA,10,17,Y
Fruit Basket,35.49,2.55,0.56,0.31,0.25,17/08/2022,Port of Busan (South Korea),SAKURA,30,10,N
Coffee Maker,226.72,1.3,0.23,0.39,0.32,02/01/2022,Port of Busan (South Korea),SAKURA,37,8,N
Insulation Rolls,18.62,5.46,1.16,0.51,0.06,23/12/2022,Port of Tianjin (China),HANA,57,6,N
Coffee Beans,357.08,239.16,0.27,0.15,0.17,09/05/2022,Port of Tokyo (Japan),SAKURA,30,15,N
Bookshelf,421.98,13.11,0.66,0.66,0.84,02/05/2022,Port of Tianjin (China),HANA,52,18,N
Gaming Mouse,75.35,0.34,0.14,0.06,0.05,22/09/2022,Port of Tianjin (China),LINDA,59,17,N
Resistance Bands,15.33,0.47,0.13,0.09,0.02,04/01/2022,Port of Shanghai (China),LINDA,66,13,N
Kitchen Timer,13.58,0.17,0.11,0.13,0.17,16/07/2022,Port of Tianjin (China),LINDA,55,4,N
Pallete of Breakfast Cereal,186.57,355.02,1.16,0.98,1.3,09/09/2022,Port of Singapore (Singapore),AURORA,73,8,N
Coffee Table,453.94,17.59,0.78,0.43,0.38,22/03/2022,Port of Singapore (Singapore),AURORA,56,14,N
Desk Lamp,22.95,0.67,0.12,0.25,0.55,,Port of Tianjin (China),LINDA,26,14,N
Garden Sprayer,40.06,1.18,0.29,0.35,0.25,08/03/2022,Port of Shanghai (China),LINDA,34,3,N
Bag of Flour,5.97,0.55,0.4,0.35,0.12,21/02/2022,Port of Singapore (Singapore),HANA,35,6,N
Running Shoes,70.66,0.67,0.48,0.17,0.11,23/08/2022,Port of Shanghai (China),LINDA,5,17,Y
Medium Shipping Tube,14.33,0.39,0.3,0.27,0.69,01/10/2022,Port of Tokyo (Japan),AURORA,25,9,N
Pallete of Bananas,118.03,349.03,1.15,0.89,0.71,,Port of Tianjin (China),LINDA,71,5,N
Hiking Boots,115.89,2.45,0.43,0.43,0.31,09/06/2022,Port of Busan (South Korea),SAKURA,73,15,N
Computer Monitor,436.68,2.3,0.48,0.28,0.14,18/05/2022,Port of Shanghai (China),LINDA,39,16,N
Pallete of Magazines,127.96,438.6,1.27,0.8,1.06,18/09/2022,Port of Busan (South Korea),SAKURA,53,5,N
Wetsuit,297.25,1.91,0.67,0.39,0.05,22/04/2022,Port of Tokyo (Japan),SERENA,40,9,N
Bag of Rice,11.11,7.6,0.88,0.45,0.12,28/10/2022,Port of Busan (South Korea),SAKURA,38,8,N
PC Mice,48.35,0.15,1.11,0.58,0.26,05/09/2022,Port of Singapore (Singapore),HANA,40,17,N
Box of Cans of Tuna,26.04,9.31,0.56,0.28,0.29,07/07/2022,Port of Singapore (Singapore),AURORA,38,8,N
Beach Towel,19.9,0.55,1.53,1.44,0.08,30/08/2022,Port of Singapore (Singapore),AURORA,73,2,N
Pallete of Dog Food,223.05,477.58,1,0.92,1.48,01/02/2022,Port of Tokyo (Japan),AURORA,45,13,N
Large Box,20.68,0.68,0.78,0.57,0.39,25/04/2022,Port of Busan (South Korea),SERENA,54,18,N
Snowboard,356.7,2.65,1.26,0.27,0.19,22/08/2022,Port of Tokyo (Japan),AURORA,46,10,N
Kitchen Timer,14.64,0.14,0.19,0.15,0.11,23/11/2022,Port of Singapore (Singapore),AURORA,60,8,N
Wine Opener,23.05,0.46,0.17,0.19,0.1,15/10/2022,Port of Singapore (Singapore),AURORA,57,12,N
Washing Machine,420.76,35.25,1.02,0.64,1.15,08/10/2022,Port of Singapore (Singapore),AURORA,61,19,N
Plywood Sheets,37.66,16.18,1.28,1.04,0.02,04/04/2022,Port of Shanghai (China),LINDA,69,5,N
Bathroom Scale,21.41,1.41,0.46,0.36,0.02,30/10/2022,Port of Shanghai (China),LINDA,50,15,N
Motorcycle,1723.73,194.41,2.29,1.49,1.17,03/04/2022,Port of Tokyo (Japan),SERENA,31,13,N
Pallete of Frozen Fish,498.61,1054.42,1.12,0.89,1.41,22/07/2022,Port of Busan (South Korea),AMELIA,69,12,N
Medium Box,18.75,0.33,0.53,0.31,0.2,17/11/2022,Port of Singapore (Singapore),HANA,64,19,N
Fan,63.9,1.2,0.39,0.39,0.33,06/07/2022,Port of Tianjin (China),LINDA,68,15,N
Small Bubble Mailer,3.03,0.09,0.1,0.06,0.03,29/07/2022,Port of Tianjin (China),LINDA,59,11,N
Backpack,45.83,1.4,0.2,0.66,0.17,28/02/2022,Port of Singapore (Singapore),AURORA,47,20,N
Refrigerator,778.46,90.4,1.09,0.97,1.82,07/05/2022,Port of Busan (South Korea),SAKURA,71,3,N
Pallete of Dog Food,208.03,482.53,1.2,0.86,1.46,13/10/2022,Port of Busan (South Korea),AMELIA,50,12,N
Headphones,51.72,0.21,0.13,0.13,0.09,03/04/2022,Port of Busan (South Korea),SAKURA,47,14,N
Dining Table,1377.82,91.79,2.25,0.93,0.78,20/04/2022,Port of Busan (South Korea),AMELIA,30,1,N
Garden Rake,14.81,1.68,0.87,0.43,0.48,16/05/2022,Port of Tianjin (China),LINDA,64,7,N
Beach Towel,17.57,0.87,1.48,1.35,0.07,28/01/2022,Port of Busan (South Korea),SAKURA,25,19,N
Office Chair,51.08,9.54,0.51,0.6,0.96,10/12/2022,Port of Singapore (Singapore),AURORA,47,18,N
Large Padded Envelope,5.78,0.15,0.23,0.17,0.08,01/10/2022,Port of Busan (South Korea),SAKURA,37,12,N
Generators,3238.43,81.59,0.93,0.43,0.47,22/03/2022,Port of Busan (South Korea),AMELIA,50,10,N
TV Stand,43.29,14.81,0.98,0.51,0.6,14/04/2022,Port of Tianjin (China),HANA,67,17,N
Medium Box,10.74,0.43,0.46,0.37,0.23,07/08/2022,Port of Busan (South Korea),SAKURA,30,5,N
Microwave,104.27,11.3,0.56,0.44,0.29,17/01/2022,Port of Shanghai (China),LINDA,25,13,N
Hair Dryer,57.39,1.11,0.25,0.13,0.16,21/02/2022,Port of Tianjin (China),LINDA,38,5,N
Piano,22289.62,221.82,1.95,0.94,1.26,25/09/2022,Port of Tokyo (Japan),SERENA,55,3,N
Pallete of Wine Bottles,460.85,911.02,1.13,0.73,1.02,05/10/2022,Port of Tianjin (China),HANA,17,15,Y
Oranges,119.16,267.89,0.35,0.65,0.7,03/11/2022,Port of Singapore (Singapore),AURORA,25,6,N
Garden Cart,54.71,16.93,1.12,0.65,0.39,14/05/2022,Port of Tokyo (Japan),SERENA,37,14,N
Hiking Boots,142.79,1.66,0.39,0.39,0.22,18/09/2022,Port of Singapore (Singapore),HANA,73,7,N
Coffee Table,203.21,20.7,0.4,0.57,0.32,01/10/2022,Port of Shanghai (China),LINDA,70,8,N
Backpack,94.11,0.69,0.25,0.28,0.64,26/06/2022,Port of Singapore (Singapore),HANA,70,19,N
Digital Camera,217.52,0.53,0.12,0.09,0.06,17/07/2022,Port of Tianjin (China),LINDA,45,4,N
Desktop Computer,718.8,8.41,0.57,0.44,0.4,10/10/2022,Port of Busan (South Korea),SERENA,60,10,N
Pallete of Dog Food,163.86,497.51,1.14,0.89,1.44,06/03/2022,Port of Tianjin (China),LINDA,46,19,N
Coffee Beans,8.24,1.26,0.29,0.13,0.06,05/09/2022,Port of Shanghai (China),HANA,9,12,Y
Leaf Blower,183.74,5.41,0.86,0.45,0.44,14/10/2022,Port of Tianjin (China),LINDA,53,15,N
Wristwatch,133.24,0.1,0.24,0.06,0.02,02/10/2022,Port of Tianjin (China),LINDA,74,11,N
Electric Shaver,172.9,0.21,0.16,0.03,0.06,28/06/2022,Port of Singapore (Singapore),AURORA,38,7,N
Pruning Saw,28.91,0.92,0.33,0.05,0.04,06/01/2022,Port of Busan (South Korea),AMELIA,34,8,N
Assorted Chocolates,18.36,0.97,0.29,0.37,0.1,30/08/2022,Port of Singapore (Singapore),AURORA,29,8,N
Tomatoes (Canned),159.49,47.67,0.4,0.3,0.3,04/07/2022,Port of Busan (South Korea),SAKURA,37,13,N
Tomatoes (Canned),1393.66,84.9,0.4,0.3,0.3,01/09/2022,Port of Singapore (Singapore),AURORA,35,11,N
Medium Box,13.46,0.49,0.49,0.33,0.28,18/01/2022,Port of Singapore (Singapore),AURORA,34,18,N
Rain Jacket,59.29,0.51,0.24,0.36,0.11,03/05/2022,Port of Shanghai (China),LINDA,41,19,N
Pallete of Canned Vegetables,123.34,376.97,1.01,0.96,1.21,25/10/2022,Port of Shanghai (China),LINDA,65,13,N
Wristwatch,82.28,0.19,0.29,0.05,0.05,11/08/2022,Port of Tianjin (China),HANA,66,5,N
Small Box,8.28,0.23,0.28,0.23,0.19,02/02/2022,Port of Tokyo (Japan),SAKURA,29,9,N
Pallete of Tires,597.7,1605.18,1.3,1.18,1.47,14/11/2022,Port of Busan (South Korea),SERENA,79,16,N
Air Conditioner,565.51,60.37,0.67,0.33,0.11,14/04/2022,Port of Shanghai (China),LINDA,17,7,Y
Lawn Mower,389.9,30.7,1.08,0.85,0.53,20/05/2022,Port of Shanghai (China),LINDA,8,12,Y
Pallete of Breakfast Cereal,135.25,429.46,1.18,0.84,1.3,07/01/2022,Port of Busan (South Korea),AMELIA,53,14,N
Hair Dryer,91.51,1.6,0.3,0.16,0.17,29/03/2022,Port of Busan (South Korea),SAKURA,59,13,N
Sofa,524.26,30.43,1.52,1.49,0.5,27/05/2022,Port of Busan (South Korea),SAKURA,34,20,N
Resistance Bands,28.86,0.21,0.44,0.02,0.02,24/08/2022,Port of Busan (South Korea),SAKURA,4,9,Y
Fruit Basket,44.7,2.87,0.46,0.39,0.22,23/11/2022,Port of Shanghai (China),LINDA,48,20,N
Small Padded Envelope,4.68,0.19,0.16,0.08,0.05,15/01/2022,Port of Busan (South Korea),SAKURA,34,14,N
Laptop Sleeve,35.81,0.38,0.31,0.09,0.29,19/10/2022,Port of Tokyo (Japan),SERENA,35,13,N
Pallete of Computers,992.87,2313,0.88,0.68,0.66,27/09/2022,Port of Tianjin (China),HANA,17,12,Y
Cement Bag,26.31,20.59,0.33,0.32,0.34,05/06/2022,Port of Tokyo (Japan),SAKURA,61,15,N
Large Box,35.91,0.94,0.81,0.56,0.39,20/01/2022,Port of Tokyo (Japan),SERENA,41,13,N
Guitar Case,128.01,7.12,1.07,0.5,1.14,13/01/2022,Port of Tokyo (Japan),AURORA,52,4,N
Pallete of Wine Bottles,422.04,940.36,1.15,0.56,1.06,01/08/2022,Port of Shanghai (China),LINDA,25,11,N
Vacuum Cleaner,172.74,2.21,0.47,0.72,0.31,12/04/2022,Port of Singapore (Singapore),AURORA,44,14,N
Large Box,30.31,0.69,0.74,0.42,0.31,30/06/2022,Port of Tokyo (Japan),AURORA,60,8,N
Pallete of Water Bottles,75.39,225.52,1.05,1.5,1.13,11/06/2022,Port of Singapore (Singapore),HANA,61,17,N
Coffee Beans,29.19,1.05,0.23,0.26,0.11,08/01/2022,Port of Tokyo (Japan),AURORA,29,15,N
Sleeping Bag,101.75,1.56,0.7,0.42,0.29,22/08/2022,Port of Busan (South Korea),SAKURA,63,12,N
Pallete of Dog Food,159.16,463.5,1.01,0.93,1.48,06/06/2022,Port of Singapore (Singapore),AURORA,73,9,N
Medium Shipping Tube,14.89,0.44,0.31,0.19,0.78,22/04/2022,Port of Tokyo (Japan),SERENA,60,7,N
Sofa,388.48,45.25,1.66,1.41,0.67,26/05/2022,Port of Tianjin (China),HANA,62,18,N
Dumbbell Set,251.76,32.36,0.89,0.62,0.21,19/08/2022,Port of Shanghai (China),LINDA,75,7,N
Table Lamp,48.31,0.6,0.29,0.28,0.4,04/11/2022,Port of Shanghai (China),LINDA,15,4,Y
Flute,219.78,0.13,0.27,0.03,0.1,15/01/2022,Port of Tokyo (Japan),SAKURA,58,8,N
Smartphone Case,12.36,0.08,0.13,0.09,0.02,22/11/2022,Port of Tianjin (China),LINDA,66,9,N
Smartphone,349.39,0.18,0.05,0.1,0.05,16/05/2022,Port of Singapore (Singapore),AURORA,70,2,N
Pallete of Musical Instruments,741.43,1525.99,1.09,0.98,0.54,31/10/2022,Port of Singapore (Singapore),AURORA,91,18,N
Large Padded Envelope,8.99,0.25,0.22,0.12,0.07,24/04/2022,Port of Singapore (Singapore),AURORA,75,9,N
Running Shoes,61.81,0.86,0.38,0.18,0.13,18/09/2022,Port of Shanghai (China),LINDA,15,2,Y
Portable Charger,28.13,0.37,0.12,0.07,0.01,14/02/2022,Port of Shanghai (China),LINDA,26,2,N
Sneakers,274.04,1.88,0.21,0.38,0.11,23/07/2022,Port of Busan (South Korea),SERENA,54,12,N
Big Bag with Food Ingredients,160.58,968.99,1.22,0.88,0.23,17/02/2022,Port of Singapore (Singapore),AURORA,45,18,N
Desk Lamp,24.24,0.6,0.13,0.17,0.23,22/08/2022,Port of Shanghai (China),LINDA,66,18,N
Medium Box,19.76,0.49,0.57,0.35,0.25,01/01/2022,Port of Tokyo (Japan),SAKURA,71,1,N
Cycling Helmet,45.59,0.68,0.24,0.31,0.24,21/07/2022,Port of Shanghai (China),LINDA,45,12,N
Pallete of Coffee,311.44,852.83,1.03,0.96,1.46,03/02/2022,Port of Shanghai (China),HANA,17,6,Y
Big Bag with Textile Scraps,128.8,1395.82,1.65,1.15,0.29,24/07/2022,Port of Tianjin (China),LINDA,103,8,N
Hiking Boots,146.18,2.68,0.49,0.41,0.27,01/02/2022,Port of Busan (South Korea),SERENA,28,8,N
Small Padded Envelope,2.95,0.16,0.16,0.06,0.01,22/10/2022,Port of Singapore (Singapore),AURORA,34,16,N
Dish Rack,23.78,1.51,0.56,0.29,0.16,01/07/2022,Port of Tokyo (Japan),SERENA,27,17,N
Cement Bag,39.7,21.44,0.33,0.4,0.38,11/01/2022,Port of Tianjin (China),LINDA,43,10,N
Large Flat Rate Box,35.1,0.71,1.18,0.8,0.38,11/11/2022,Port of Tianjin (China),LINDA,7,9,Y
Small Flat Rate Box,9.88,0.36,0.23,0.24,0.1,03/05/2022,Port of Shanghai (China),LINDA,49,11,N
Small Shipping Tube,5.06,0.16,0.27,0.06,0.31,27/08/2022,Port of Tianjin (China),HANA,12,6,Y
Motorcycle,2659.8,184.92,2.32,1.42,1.21,13/12/2022,Port of Shanghai (China),LINDA,70,17,N
Umbrella,38.17,0.39,0.8,0.13,0.23,07/04/2022,Port of Shanghai (China),HANA,37,11,N
Suitcase,35.58,3.2,0.69,0.73,0.37,15/03/2022,Port of Singapore (Singapore),AURORA,66,4,N
TV,843.39,24.66,1.89,1.75,0.46,11/04/2022,Port of Singapore (Singapore),AURORA,43,18,N
Pallete of Musical Instruments,765.34,1550.34,1.21,1.02,0.5,01/04/2022,Port of Shanghai (China),HANA,89,4,N
Rice,83.33,150.37,0.63,0.41,0.65,24/04/2022,Port of Shanghai (China),HANA,37,10,N
Small Box,6,0.23,0.21,0.24,0.17,24/02/2022,Port of Tokyo (Japan),SERENA,57,15,N
Medium Shipping Tube,10.49,0.43,0.36,0.12,0.54,24/07/2022,Port of Tokyo (Japan),AURORA,41,13,N
Dumbbell Set,114.3,20.63,0.65,0.67,0.28,15/03/2022,Port of Tianjin (China),LINDA,36,5,N
Medium Flat Rate Box,15.51,0.7,0.63,0.37,0.24,31/05/2022,Port of Tianjin (China),HANA,28,20,N
Large Bubble Mailer,9.83,0.27,0.21,0.15,0.08,13/06/2022,Port of Tianjin (China),LINDA,28,11,N
Armchair,763.46,19.75,0.71,0.71,0.9,12/07/2022,Port of Busan (South Korea),AMELIA,59,13,N
Lawn Mower,246.19,28.18,1.07,0.74,0.52,23/04/2022,Port of Shanghai (China),LINDA,12,6,Y
Pallete of Shoes,440.23,1284.96,1.08,0.92,1.43,15/11/2022,Port of Singapore (Singapore),AURORA,77,13,N
Pallete of Computers,965.03,2191.88,0.91,0.67,0.61,28/10/2022,Port of Tokyo (Japan),AURORA,77,7,N
Lawn Mower,244.25,49.28,1.33,0.61,0.52,13/11/2022,Port of Shanghai (China),HANA,28,10,N
E-Reader,331.36,0.41,0.16,0.21,0.02,19/04/2022,Port of Singapore (Singapore),AURORA,37,7,N
Garden Rake,16.8,2,1.05,0.21,0.38,21/07/2022,Port of Busan (South Korea),AMELIA,54,17,N
Laptop Sleeve,35.02,0.22,0.34,0.1,0.21,26/02/2022,Port of Tianjin (China),LINDA,66,15,N
Big Bag with Plastic Scraps,155.14,1721.04,1.72,1.04,0.25,15/01/2022,Port of Busan (South Korea),SERENA,76,5,N
Garden Hose,23.16,2.15,28.83,0.23,0.28,07/11/2022,Port of Shanghai (China),LINDA,70,1,N
Television,1890.23,19.54,0.82,0.35,0.14,18/12/2022,Port of Tianjin (China),LINDA,67,19,N
Table Lamp,37.12,0.88,0.25,0.26,0.35,02/03/2022,Port of Singapore (Singapore),AURORA,55,18,N
Portable Charger,43.8,0.32,0.14,0.07,0.02,22/10/2022,Port of Busan (South Korea),AMELIA,72,15,N
Vacuum Cleaner,524.77,9.65,0.67,0.78,0.24,18/06/2022,Port of Busan (South Korea),SAKURA,65,12,N
Big Bag with Metal Scraps,178.98,1974.04,1.87,0.99,0.19,17/07/2022,Port of Shanghai (China),LINDA,14,12,Y
Large Box,24.18,0.87,0.83,0.48,0.38,08/07/2022,Port of Singapore (Singapore),AURORA,69,18,N
Electric Toothbrush,88.67,0.17,0.11,0.03,0.07,06/06/2022,Port of Busan (South Korea),SERENA,64,10,N
Garden Shovel,22.13,0.61,0.26,0.09,0.04,04/10/2022,Port of Tianjin (China),LINDA,26,2,N
Snowboard,458.57,2.92,1.47,0.33,0.17,15/03/2022,Port of Shanghai (China),LINDA,36,3,N
Hiking Boots,240.88,1.26,0.29,0.29,0.48,27/06/2022,Port of Busan (South Korea),SAKURA,68,19,N
Portable Charger,30.22,0.48,0.12,0.09,0.03,30/06/2022,Port of Shanghai (China),HANA,72,13,N
Pallete of Tea,265.19,768.08,1.16,0.96,1.24,10/07/2022,Port of Shanghai (China),HANA,40,12,N
Watering Can,11.02,1.31,0.49,0.18,0.1,26/03/2022,Port of Shanghai (China),LINDA,54,20,N
Handheld Mixer,50.89,1.83,0.45,0.33,0.18,11/04/2022,Port of Singapore (Singapore),AURORA,55,1,N
Box of Pasta,3.31,0.78,0.31,0.14,0.18,16/01/2022,Port of Busan (South Korea),SERENA,51,14,N
Canister,15.22,3.36,0.22,0.23,0.23,01/01/2022,Port of Shanghai (China),LINDA,12,7,Y
Pallete of Chips,121.28,270,1.18,0.81,1.27,24/08/2022,Port of Busan (South Korea),SERENA,41,19,N
Small Boat,14345.83,794.34,5.6,1.98,2.34,22/08/2022,Port of Busan (South Korea),SAKURA,28,7,N
Television,320.09,8.46,0.76,0.78,0.13,25/06/2022,Port of Shanghai (China),LINDA,64,17,N
Pallete of Glassware,577.01,799.44,1.42,0.86,0.62,23/05/2022,Port of Singapore (Singapore),HANA,66,4,N
Box of Crackers,3.27,0.38,0.19,0.08,0.05,29/01/2022,Port of Tianjin (China),HANA,45,4,N
Coffee Beans,12.69,1.05,0.22,0.18,0.07,29/11/2022,Port of Shanghai (China),LINDA,69,8,N
Backpack,47.83,1.49,0.24,0.51,0.19,02/09/2022,Port of Tokyo (Japan),SAKURA,25,12,N
Palette Water Bottles,425.58,813.6,1.2,0.84,1,29/09/2022,Port of Singapore (Singapore),AURORA,49,13,N
Metal Pipes,92.22,40.16,2.32,0.11,1.79,05/04/2022,Port of Tokyo (Japan),SAKURA,52,8,N
Coffee Maker,269.75,1.82,0.34,0.32,0.37,12/10/2022,Port of Singapore (Singapore),AURORA,59,8,N
Insulation Rolls,12.37,9.17,1.19,0.78,0.06,03/01/2022,Port of Shanghai (China),LINDA,59,3,N
Resistance Bands,12.7,0.15,0.41,0.03,0.02,05/06/2022,Port of Shanghai (China),HANA,49,8,N
Fan,87.88,1.81,0.33,0.24,0.21,21/03/2022,Port of Singapore (Singapore),HANA,56,16,N
Backpack,33.62,1.02,0.48,0.57,0.14,28/01/2022,Port of Shanghai (China),LINDA,12,16,Y
Electric Guitar,210.72,4.05,1.45,0.33,0.09,02/12/2022,Port of Tianjin (China),LINDA,27,17,N
Toy Car,48.87,0.4,0.3,0.27,0.17,17/07/2022,Port of Tokyo (Japan),SERENA,66,1,N
Pallete of Cookies,107.15,224.03,1.05,0.93,1.22,10/11/2022,Port of Shanghai (China),LINDA,24,12,Y
Weed Whacker,91.41,3.83,1.12,0.22,0.28,25/04/2022,Port of Tokyo (Japan),AURORA,34,7,N
Pallete of Cleaning Products,236.65,726.33,1.1,0.83,1.34,24/05/2022,Port of Shanghai (China),LINDA,32,2,N
Skipping Rope,11.73,0.15,1.74,0.06,0.01,08/06/2022,Port of Singapore (Singapore),AURORA,47,5,N
Duvet,139.93,4.4,2.41,1.69,0.14,09/08/2022,Port of Tianjin (China),HANA,6,8,Y
Pallete of Chips,104.38,291.35,1.15,0.83,1.49,17/06/2022,Port of Busan (South Korea),AMELIA,69,15,N
Microwave Oven,51.18,11.73,0.54,0.42,0.29,20/04/2022,Port of Tokyo (Japan),SERENA,54,10,N
Carton of Eggs,5.12,0.77,0.19,0.07,0.13,10/07/2022,Port of Shanghai (China),LINDA,72,3,N
Electric Shaver,179.19,0.1,0.1,0.04,0.07,12/03/2022,Port of Shanghai (China),HANA,11,4,Y
Bag of Rice,11.77,6.79,0.5,0.44,0.3,05/03/2022,Port of Busan (South Korea),SAKURA,3,16,Y
Ceramic Tiles,24.06,9.05,0.47,0.49,0.01,19/11/2022,Port of Tianjin (China),LINDA,3,8,Y
Fruit Basket,34.67,1.46,0.51,0.32,0.24,22/06/2022,Port of Busan (South Korea),AMELIA,25,20,N
Small Boat,18091.49,768.1,4.24,1.8,2.46,09/03/2022,Port of Tianjin (China),LINDA,25,15,Y
Pallete of T-shirts,757.43,1662.01,1.08,1.43,0.63,07/10/2022,Port of Shanghai (China),LINDA,75,7,N
Microwave Oven,137.17,14.07,0.51,0.41,0.22,21/11/2022,Port of Busan (South Korea),SERENA,25,3,N
Watering Can,7.94,0.53,0.46,0.23,0.13,21/11/2022,Port of Shanghai (China),HANA,41,6,N
Bricks,57.54,31.7,0.63,0.5,0.16,25/10/2022,Port of Tianjin (China),LINDA,31,4,N
Tablet,467.27,1.02,0.12,0.24,0.02,12/02/2022,Port of Tokyo (Japan),SERENA,41,1,N
Big Bag with Fertilizer,62.87,450.97,1.17,0.86,0.3,05/03/2022,Port of Tokyo (Japan),AURORA,42,16,N
Small Shipping Tube,6.98,0.14,0.28,0.09,0.33,02/01/2022,Port of Shanghai (China),LINDA,15,3,Y
Pallete of Wine Bottles,482.68,835.33,1.1,0.79,1.15,13/04/2022,Port of Shanghai (China),HANA,33,13,N
Pallete of Books,198.58,966.55,0.51,0.39,1.18,01/12/2022,Port of Singapore (Singapore),AURORA,75,8,N
Television,285.53,7.02,0.68,0.87,0.28,13/01/2022,Port of Busan (South Korea),SERENA,7,15,Y
Pallete of Apples,54.98,208.63,1.17,0.84,0.55,16/07/2022,Port of Shanghai (China),LINDA,74,20,N
Hiking Boots,132.37,1.57,0.34,0.29,0.18,07/01/2022,Port of Tianjin (China),LINDA,9,5,Y
Backpacking Tent,171.78,2.39,1.54,1.35,1.18,03/02/2022,Port of Busan (South Korea),SAKURA,48,9,N
Pallete of Water Bottles,55.05,215.88,1.14,1.5,1,01/05/2022,Port of Tianjin (China),LINDA,61,1,N
Pallete of Tables,2037.83,5184.73,1.89,1.14,1.13,21/03/2022,Port of Tianjin (China),LINDA,68,1,N
Sports Car,487060.34,1040.06,4.98,1.93,1.48,08/01/2022,Port of Shanghai (China),LINDA,94,6,N
Pallete of Magazines,146.68,465.18,1.23,0.8,1.01,26/08/2022,Port of Busan (South Korea),AMELIA,40,4,N
Duffel Bag,37.94,1.7,0.33,0.68,0.22,01/04/2022,Port of Shanghai (China),LINDA,3,3,Y
Washing machine,659.46,91.82,0.87,0.7,0.89,24/07/2022,Port of Singapore (Singapore),HANA,56,11,N
Laptop Sleeve,23.01,0.46,0.36,0.09,0.23,03/05/2022,Port of Shanghai (China),LINDA,14,14,Y
External Hard Drives,110.09,1.48,0.59,0.3,0.5,10/09/2022,Port of Singapore (Singapore),AURORA,44,19,N
Generators,1801.26,137.79,0.61,0.57,0.42,12/06/2022,Port of Shanghai (China),LINDA,25,2,N
Planting Trowel,11.6,0.36,0.19,0.06,0.08,28/05/2022,Port of Tokyo (Japan),SAKURA,51,11,N
Washing Machine,219.6,39.87,0.92,0.79,1.19,16/11/2022,Port of Busan (South Korea),SERENA,30,10,N
MDF Boards,28.46,6.34,1.89,0.79,0.06,12/11/2022,Port of Busan (South Korea),SERENA,32,13,N
Couch,361.97,64.38,2.21,1.22,0.99,09/04/2022,Port of Busan (South Korea),AMELIA,57,10,N
Headphones,45.95,0.2,0.15,0.19,0.1,31/05/2022,Port of Busan (South Korea),AMELIA,31,11,N
Box of Chocolate Bar,32.89,2.51,0.54,0.58,0.19,28/05/2022,Port of Tokyo (Japan),AURORA,55,8,N
Box of Pasta,4.83,0.55,0.35,0.19,0.18,03/09/2022,Port of Busan (South Korea),SAKURA,70,10,N
Bassinet,166.7,5.48,0.71,0.58,0.68,20/11/2022,Port of Busan (South Korea),SERENA,43,11,N
Garden Sprayer,29.52,1.91,0.24,0.29,0.23,26/12/2022,Port of Tianjin (China),LINDA,50,6,N
Tea Kettle,25.25,1.03,0.39,0.32,0.25,10/06/2022,Port of Tokyo (Japan),AURORA,53,8,N
Bicycle,535.34,14.48,1.51,0.29,0.84,15/02/2022,Port of Tokyo (Japan),AURORA,74,14,N
Mattress,106.38,25.66,1.97,1.16,0.28,26/03/2022,Port of Busan (South Korea),AMELIA,58,16,N
Medium Box,19.73,0.44,0.51,0.4,0.29,28/06/2022,Port of Shanghai (China),LINDA,11,9,Y
Swim Goggles,11.1,0.15,0.1,0.09,0.08,25/02/2022,Port of Shanghai (China),LINDA,75,7,N
Small Desk,50.84,28.6,0.89,0.6,0.72,12/07/2022,Port of Shanghai (China),HANA,74,10,N
Big Bag with Paper Scraps,85.7,1672.75,1.83,0.71,0.17,29/06/2022,Port of Busan (South Korea),SERENA,100,2,N
Large Box,21.1,0.66,0.77,0.58,0.37,10/09/2022,Port of Shanghai (China),LINDA,75,6,N
Kitchen Timer,6.6,0.11,0.15,0.13,0.12,04/04/2022,Port of Tianjin (China),LINDA,25,18,N
Pallete of Breakfast Cereal,176.92,359.2,1.04,0.82,1.34,12/07/2022,Port of Shanghai (China),LINDA,35,6,N
Microwave,160.36,14.64,0.44,0.42,0.26,29/05/2022,Port of Tokyo (Japan),AURORA,27,1,N
Dish Rack,18.63,1.22,0.43,0.27,0.16,16/12/2022,Port of Singapore (Singapore),HANA,40,8,N
Large Padded Envelope,5.68,0.13,0.28,0.16,0.09,11/12/2022,Port of Tianjin (China),HANA,12,20,Y
Camping Stove,53.57,0.84,0.25,0.28,0.07,23/09/2022,Port of Tianjin (China),LINDA,28,12,N
Running Belt,27.56,0.11,0.25,0.07,0.08,06/06/2022,Port of Tianjin (China),HANA,6,6,Y
Coffee Beans,169.31,65.63,0.34,0.12,0.15,06/04/2022,Port of Shanghai (China),LINDA,48,4,N
Microwave Oven,72.04,12.17,0.59,0.59,0.29,27/09/2022,Port of Tianjin (China),HANA,15,1,Y
Canister,11.82,3.35,0.2,0.35,0.37,05/09/2022,Port of Shanghai (China),LINDA,27,7,N
Pallete of Cement,350.83,842.01,1.48,0.96,1.2,25/02/2022,Port of Busan (South Korea),SERENA,44,17,N
